Station,City,Longitude,Latitude,Date,Sea Level
12,New York,74.013333,40.7,1/1/2012,7022
12,New York,74.013333,40.7,2/1/2012,7029
12,New York,74.013333,40.7,3/1/2012,7094
12,New York,74.013333,40.7,4/1/2012,7147
12,New York,74.013333,40.7,5/1/2012,7157
12,New York,74.013333,40.7,6/1/2012,7260
12,New York,74.013333,40.7,7/1/2012,7194
12,New York,74.013333,40.7,8/1/2012,7198
12,New York,74.013333,40.7,9/1/2012,7172
12,New York,74.013333,40.7,10/1/2012,7264
12,New York,74.013333,40.7,11/1/2012,7165
12,New York,74.013333,40.7,12/1/2012,7168
12,New York,74.013333,40.7,1/1/2013,6984
12,New York,74.013333,40.7,2/1/2013,7021
12,New York,74.013333,40.7,3/1/2013,7192
12,New York,74.013333,40.7,4/1/2013,7109
12,New York,74.013333,40.7,5/1/2013,7098
12,New York,74.013333,40.7,6/1/2013,7193
12,New York,74.013333,40.7,7/1/2013,7206
12,New York,74.013333,40.7,8/1/2013,7193
12,New York,74.013333,40.7,9/1/2013,7192
12,New York,74.013333,40.7,10/1/2013,7227
12,New York,74.013333,40.7,11/1/2013,7022
12,New York,74.013333,40.7,12/1/2013,7036
12,New York,74.013333,40.7,1/1/2014,6997
12,New York,74.013333,40.7,2/1/2014,6982
12,New York,74.013333,40.7,3/1/2014,7057
12,New York,74.013333,40.7,4/1/2014,7164
12,New York,74.013333,40.7,5/1/2014,7194
12,New York,74.013333,40.7,6/1/2014,7212
12,New York,74.013333,40.7,7/1/2014,7170
12,New York,74.013333,40.7,8/1/2014,7229
12,New York,74.013333,40.7,9/1/2014,7229
12,New York,74.013333,40.7,10/1/2014,7250
12,New York,74.013333,40.7,11/1/2014,7092
12,New York,74.013333,40.7,12/1/2014,7139
12,New York,74.013333,40.7,1/1/2015,6960
12,New York,74.013333,40.7,2/1/2015,6989
12,New York,74.013333,40.7,3/1/2015,6947
12,New York,74.013333,40.7,4/1/2015,7087
12,New York,74.013333,40.7,5/1/2015,7042
12,New York,74.013333,40.7,6/1/2015,7179
12,New York,74.013333,40.7,7/1/2015,7225
12,New York,74.013333,40.7,8/1/2015,7201
12,New York,74.013333,40.7,9/1/2015,7240
12,New York,74.013333,40.7,10/1/2015,7240
12,New York,74.013333,40.7,11/1/2015,7122
12,New York,74.013333,40.7,12/1/2015,7120
12,New York,74.013333,40.7,1/1/2016,7094
12,New York,74.013333,40.7,2/1/2016,7058
12,New York,74.013333,40.7,3/1/2016,7108
12,New York,74.013333,40.7,4/1/2016,7144
12,New York,74.013333,40.7,5/1/2016,7141
12,New York,74.013333,40.7,6/1/2016,7156
12,New York,74.013333,40.7,7/1/2016,7170
12,New York,74.013333,40.7,8/1/2016,7159
12,New York,74.013333,40.7,9/1/2016,7261
12,New York,74.013333,40.7,10/1/2016,7194
12,New York,74.013333,40.7,11/1/2016,7087
12,New York,74.013333,40.7,12/1/2016,7012
12,New York,74.013333,40.7,1/1/2017,7072
12,New York,74.013333,40.7,2/1/2017,7039
12,New York,74.013333,40.7,3/1/2017,6958
12,New York,74.013333,40.7,4/1/2017,7195
12,New York,74.013333,40.7,5/1/2017,7248
12,New York,74.013333,40.7,6/1/2017,7196
12,New York,74.013333,40.7,7/1/2017,7232
12,New York,74.013333,40.7,8/1/2017,7215
12,New York,74.013333,40.7,9/1/2017,7257
12,New York,74.013333,40.7,10/1/2017,7208
12,New York,74.013333,40.7,11/1/2017,7171
12,New York,74.013333,40.7,12/1/2017,7011
378,Crescent City,124.181667,41.745,1/1/2012,7037
378,Crescent City,124.181667,41.745,2/1/2012,6966
378,Crescent City,124.181667,41.745,3/1/2012,7072
378,Crescent City,124.181667,41.745,4/1/2012,7059
378,Crescent City,124.181667,41.745,5/1/2012,6912
378,Crescent City,124.181667,41.745,6/1/2012,6958
378,Crescent City,124.181667,41.745,7/1/2012,7012
378,Crescent City,124.181667,41.745,8/1/2012,7045
378,Crescent City,124.181667,41.745,9/1/2012,7047
378,Crescent City,124.181667,41.745,10/1/2012,7071
378,Crescent City,124.181667,41.745,11/1/2012,7137
378,Crescent City,124.181667,41.745,12/1/2012,7199
378,Crescent City,124.181667,41.745,1/1/2013,6979
378,Crescent City,124.181667,41.745,2/1/2013,6874
378,Crescent City,124.181667,41.745,3/1/2013,6911
378,Crescent City,124.181667,41.745,4/1/2013,6885
378,Crescent City,124.181667,41.745,5/1/2013,6907
378,Crescent City,124.181667,41.745,6/1/2013,6962
378,Crescent City,124.181667,41.745,7/1/2013,7031
378,Crescent City,124.181667,41.745,8/1/2013,7039
378,Crescent City,124.181667,41.745,9/1/2013,7082
378,Crescent City,124.181667,41.745,10/1/2013,7011
378,Crescent City,124.181667,41.745,11/1/2013,7014
378,Crescent City,124.181667,41.745,12/1/2013,6952
378,Crescent City,124.181667,41.745,1/1/2014,7031
378,Crescent City,124.181667,41.745,2/1/2014,7061
378,Crescent City,124.181667,41.745,3/1/2014,7056
378,Crescent City,124.181667,41.745,4/1/2014,7010
378,Crescent City,124.181667,41.745,5/1/2014,6994
378,Crescent City,124.181667,41.745,6/1/2014,6980
378,Crescent City,124.181667,41.745,7/1/2014,7081
378,Crescent City,124.181667,41.745,8/1/2014,7077
378,Crescent City,124.181667,41.745,9/1/2014,7154
378,Crescent City,124.181667,41.745,10/1/2014,7175
378,Crescent City,124.181667,41.745,11/1/2014,7120
378,Crescent City,124.181667,41.745,12/1/2014,7274
378,Crescent City,124.181667,41.745,1/1/2015,7098
378,Crescent City,124.181667,41.745,2/1/2015,7139
378,Crescent City,124.181667,41.745,3/1/2015,7011
378,Crescent City,124.181667,41.745,4/1/2015,6956
378,Crescent City,124.181667,41.745,5/1/2015,6992
378,Crescent City,124.181667,41.745,6/1/2015,7044
378,Crescent City,124.181667,41.745,7/1/2015,7123
378,Crescent City,124.181667,41.745,8/1/2015,7112
378,Crescent City,124.181667,41.745,9/1/2015,7153
378,Crescent City,124.181667,41.745,10/1/2015,7157
